SiteID,Name,Type,Address,City,State,Country,Postal Code,Latitude,Longitude,Custom 1
23393,W_DC_East_QC_Y029_L'Assomption,Existing Site,2750 Boul L'Assomption,Montreal,QC,Canada,H1N 2G9,45.5678,-73.5437,LAssomption
23394,W_DC_East_QC_Y026_Granby,Existing Site,940 Andre Liné,Granby,QC,Canada,J2J 1E2,45.3866,-72.766,Granby
23395,W_DC_East_QC_Y031_Quebec City,Existing Site,990 Godin,Quebec,QC,Canada,G1M 2X9,46.825,-71.2806,Quebec City
23396,W_DC_West_AB_Y002_CalgaryDC,Existing Site,3852 23rd Street NE,Calgary,AB,Canada,T2E 6T2,51.0867,-114.0062,CalgaryDC
23397,W_DC_West_AB_Y033_Edmonton,Existing Site,9621-27 Avenue,Edmonton,AB,Canada,T6N 1E7,53.456,-113.477,Edmonton
23398,W_DC_West_BC_Y037_Coquitlam,Existing Site,2450 United Blvd,Coquitlam,BC,Canada,V3R 6G2,49.226,-122.8194,Coquitlam
23399,W_DC_West_BC_Y047_Victoria,Existing Site,105-765 Vanalman Ave,Victoria,BC,Canada,V8Z 3B8,48.4805,-123.3876,Victoria
23400,W_DC_West_BC_Y042_Nanaimo,Existing Site,4148 Mostar Road,Nanaimo,BC,Canada,V9T 5V9,49.2104,-124.0344,Nanaimo
23401,W_DC_West_BC_Y043_Prince George,Existing Site,405 - 2nd Ave,Prince George,BC,Canada,V2L 2Z6,53.9142,-122.7326,Prince George
23402,W_DC_West_BC_Y046_Terrace,Existing Site,5120 Keith Avenue,Terrace,BC,Canada,V8G 1K9,54.5152,-128.6152,Terrace
23403,W_DC_West_BC_Y035_Castlegar,Existing Site,1370 Forest Foad,Castlegar,BC,Canada,V1N 3Y5,49.29315,-117.6642,Castlegar
23404,W_DC_West_BC_Y044_Nelson,Existing Site,7200 Nelson Road,Richmond,BC,Canada,V6W 1G4,49.158,-123.005,Nelson
23405,W_DC_West_MB_Y049_Winnipeg,Existing Site,1331 Inkster Blvd,Winnipeg,MB,Canada,R2X 1P6,49.9434,-97.1717,Winnipeg
23406,W_DC_West_MB_Y048_Brandon,Existing Site,1228 Victoria Ave E,Brandon,MB,Canada,R7A 2A8,49.8414,-99.9214,Brandon
23407,W_DC_West_ON_Y054_Thunder Bay,Existing Site,615 Beaverhall Place,Thunder Bay,ON,Canada,P7E 3N1,48.3774,-89.2997,Thunder Bay
23408,W_DC_West_SK_Y052_Saskatoon,Existing Site,315 Circle Drive East,Saskatoon,SK,Canada,S7K 0T7,52.1577,-106.6664,Saskatoon
23409,W_DC_West_SK_Y051_Regina,Existing Site,355 Henderson Drive,Regina,SK,Canada,S4N 6B9,50.4715,-104.5608,Regina
23411,W_OS_Cent_ON_Y053_Toronto,Existing Site,225 Carrier  Drive,Etobicoke,ON,Canada,M9W 5Y8,43.7481,-79.6204,Toronto
23412,W_OS_East_QC_Y027_Lachine,Existing Site,4875 Fairway,Lachine,QC,Canada,H8T 1B7,45.4526,-73.712,Lachine
23413,W_OS_West_AB_Y071_Calgary,Existing Site, 6810 40th Street SE,Calgary,AB,Canada,T2C 2A5,50.9945,-113.9756,CalgaryOS
23414,W_OS_West_BC_Y062_BC-Stryder,Existing Site,13240 Worster Court,Richmond,BC,Canada,V6V 2B8,49.17925,-123.0772,BC-Stryder
23415,W_XD_West_AB_Y034_Lethbridge,Existing Site,2920 9th Ave N,Lethbridge,AB,Canada,T1H 5E4,49.7123,-112.7993,Lethbridge
23417,W_XD_West_BC_Y040_Kamloops,Existing Site,1484 Iron Mask Rd,Kamloops,BC,Canada,V1S 1C7,50.6589,-120.403,Kamloops
23418,W_XD_West_BC_Y038_Cranbrook,Existing Site,#3 1139 Industrial Road ,Cranbrook,BC,Canada,V1C 5E3,49.5261,-115.7679,Cranbrook
23440,W_DC_West_BC_Y041_Kelowna,Existing Site,100 - 2255 Norris Rd S,Kelowna,BC,Canada,V1X 8G7,49.9183,-119.3797,Kelowna
23475,W_PT_East_QC_PORT_PortOfMTL,Existing Site,200 de la Commune St W,Montreal,QC,Canada,H2Y 4B2,45.5034,-73.553,PortOfMTL
23476,W_PT_East_QC_PORT_PortOfVLY,Existing Site,"360 Boulevard Gérard-Cadieux, Salaberry-de-Valleyfield",,QC,Canada, J6T 6L4,45.224,-74.0863,PortOfVLY
23477,W_DC_West_BC_Y045_RichmondDC,Existing Site,2471 Viking Way,Richmond,BC,Canada,V6V 1N3,49.1962,-123.0746,RichmondDC
