Demand Location,Deman Site, Total Demand ,Production/Source Location,Source Site,First Warehouse,First Stop,Second Warehouse,Second Stop,Third Warehouse,Third Stop,Product Details
"Y046 Terrace, BC DC",Y046," 11,190 ",External Purchases,Exte,"Y037 Coquitlam, BC DC",Y037,"Y044 Richmond, BC DC",Y044,,,Smartwater
"Y046 Terrace, BC DC",Y046," 2,684 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,Core Power
"Y046 Terrace, BC DC",Y046," 3,599 ",External Purchases,Exte,"Y071 TCS Calgary, AB DC",Y071,,,,,Some monster import
"Y047 Victoria, BC DC",Y047," 30,069 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,250ml & 300 ml PET
"Y047 Victoria, BC DC",Y047," 213,304 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,"Y044 Richmond, BC DC",Y044,,,"Some can, 500ml PET, 1L Aha, some BIB"
"Y047 Victoria, BC DC",Y047," 281,697 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,"Hotfill can, some monster, some CSD can"
"Y047 Victoria, BC DC",Y047," 2,928 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,500ml PET AHA & 2 small skus
"Y047 Victoria, BC DC",Y047," 1,332,195 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,,,,,"most 355ml can, 222ml can, monster, most PET"
"Y047 Victoria, BC DC",Y047," 97,718 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,"Juice, PA, Glass"
"Y047 Victoria, BC DC",Y047," 63,919 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,VW
"Y047 Victoria, BC DC",Y047," 25,171 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,"Y044 Richmond, BC DC",Y044,,,Variety Packs
"Y047 Victoria, BC DC",Y047," 27,808 ",External Purchases,Exte,"Y044 Richmond, BC DC",Y044,,,,,Monster import
"Y047 Victoria, BC DC",Y047," 27,821 ",External Purchases,Exte,"Y037 Coquitlam, BC DC",Y037,"Y044 Richmond, BC DC",Y044,,,Smartwater
"Y047 Victoria, BC DC",Y047," 18,077 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,Core Power
"Y047 Victoria, BC DC",Y047," 8,663 ",External Purchases,Exte,"Y071 TCS Calgary, AB DC",Y071,,,,,Some monster import
"Y048 Brandon, MB DC",Y048," 5,436 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,Some 300ml PET
"Y048 Brandon, MB DC",Y048," 10,437 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,"Some 300ml PET, 250ml PET"
"Y048 Brandon, MB DC",Y048," 3,826 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,,,Some PET
"Y048 Brandon, MB DC",Y048," 779,677 ","Y002 Calgary, AB DC",Y002,,,,,,,Calgary cans/BIB
"Y048 Brandon, MB DC",Y048," 87,371 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Weston can SKUS - hotfill can, monster"
"Y048 Brandon, MB DC",Y048," 27,199 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,"Some Weston can SKUS - hotfill can, monster"
"Y048 Brandon, MB DC",Y048, 764 ,"Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,500ml PET small runners
"Y048 Brandon, MB DC",Y048," 93,491 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,"Y071 TCS Calgary, AB DC",Y071,"Y002 Calgary, AB DC",Y002,"Monster, 222ml can"
"Y048 Brandon, MB DC",Y048," 1,882 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,"Y071 TCS Calgary, AB DC",Y071,,,1 222ml can sku?
"Y048 Brandon, MB DC",Y048," 34,887 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y048 Brandon, MB DC",Y048," 11,322 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,small run PA SkU's
"Y048 Brandon, MB DC",Y048," 17,801 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y048 Brandon, MB DC",Y048," 1,354 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,small run VW skus
"Y048 Brandon, MB DC",Y048, 252 ,Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,small run vP
"Y048 Brandon, MB DC",Y048," 6,165 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,VP skus
"Y048 Brandon, MB DC",Y048, 104 ,External Purchases,Exte,"Y002 Calgary, AB DC",Y002,,,,,BIB juice
"Y048 Brandon, MB DC",Y048," 26,157 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,"Smartwater, monster import, anc."
"Y048 Brandon, MB DC",Y048," 2,144 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,Y053 NFI Toronto Aux WH,Y053,,,CorePower
"Y049 Winnipeg, MB DC",Y049," 89,724 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,300ml/250ml PET
"Y049 Winnipeg, MB DC",Y049," 4,728,713 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,,,Core cans & PET
"Y049 Winnipeg, MB DC",Y049," 201,527 ","Y002 Calgary, AB DC",Y002,,,,,,,BIB
"Y049 Winnipeg, MB DC",Y049," 1,112,555 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Weston can SKUS - hotfill can, monster"
"Y049 Winnipeg, MB DC",Y049," 5,044 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,500ml PET small runners
"Y049 Winnipeg, MB DC",Y049," 105,162 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,"Y071 TCS Calgary, AB DC",Y071,,,Some small run can & PET
"Y049 Winnipeg, MB DC",Y049," 271,663 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y049 Winnipeg, MB DC",Y049," 1,883 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,small run PA SkU's
"Y049 Winnipeg, MB DC",Y049," 105,707 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y049 Winnipeg, MB DC",Y049," 89,281 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,VP skus
"Y049 Winnipeg, MB DC",Y049," 4,270 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,,,,,BIB juice
"Y049 Winnipeg, MB DC",Y049," 129,180 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,"Smartwater, monster import, anc."
"Y049 Winnipeg, MB DC",Y049," 13,749 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,Y053 NFI Toronto Aux WH,Y053,,,CorePower
"Y050 Lloydminster, SK CD",Y050,,,,,,,,,,
"Y051 Regina, SK DC",Y051," 34,725 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,300ml PET
"Y051 Regina, SK DC",Y051," 4,509 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,250ml PET
"Y051 Regina, SK DC",Y051," 1,919,773 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,,,Calgary cans/PET
"Y051 Regina, SK DC",Y051," 20,690 ","Y002 Calgary, AB DC",Y002,,,,,,,BIB
"Y051 Regina, SK DC",Y051," 306,693 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Weston can SKUS - hotfill can, monster"
"Y051 Regina, SK DC",Y051," 2,837 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y051 Regina, SK DC",Y051," 255,090 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,"Y071 TCS Calgary, AB DC",Y071,,,"Monster, 222ml can"
"Y051 Regina, SK DC",Y051," 112,167 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y051 Regina, SK DC",Y051," 55,745 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y051 Regina, SK DC",Y051," 27,011 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y051 Regina, SK DC",Y051," 11,563 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,Y053 NFI Toronto Aux WH,Y053,,,"non KO Bib, corepower"
"Y051 Regina, SK DC",Y051," 83,855 ",External Purchases,Exte,"Y071 TCS Calgary, AB DC",Y071,,,,,"Smartwater, Monster Imports"
"Y052 Saskatoon, SK DC",Y052," 33,295 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,300ml PET
"Y052 Saskatoon, SK DC",Y052," 4,659 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,"Y002 Calgary, AB DC",Y002,,,250ml PET
"Y052 Saskatoon, SK DC",Y052," 1,689,164 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,,,,,Calgary cans/PET
"Y052 Saskatoon, SK DC",Y052," 12,171 ","Y002 Calgary, AB DC",Y002,,,,,,,BIB
"Y052 Saskatoon, SK DC",Y052," 281,651 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Weston can SKUS - hotfill can, monster"
"Y052 Saskatoon, SK DC",Y052," 2,575 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y052 Saskatoon, SK DC",Y052," 247,700 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,"Y071 TCS Calgary, AB DC",Y071,,,"Monster, 222ml can"
"Y052 Saskatoon, SK DC",Y052," 108,531 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y052 Saskatoon, SK DC",Y052," 53,782 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y052 Saskatoon, SK DC",Y052," 43,827 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y052 Saskatoon, SK DC",Y052," 8,969 ",External Purchases,Exte,"Y002 Calgary, AB DC",Y002,Y053 NFI Toronto Aux WH,Y053,,,"non KO Bib, corepower"
"Y052 Saskatoon, SK DC",Y052," 73,570 ",External Purchases,Exte,"Y071 TCS Calgary, AB DC",Y071,,,,,"Smartwater, Monster Imports"
"Y054 Thunder Bay, ON DC",Y054," 483,746 ","Y001 Brampton, ON DC",Y001,,,,,,,"Core can, PET, 300ml/250ml PET, BIB"
"Y054 Thunder Bay, ON DC",Y054," 49,607 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,"1L Aha, 355ml can fresca and diet aw"
"Y054 Thunder Bay, ON DC",Y054," 421,245 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,"Weston can SKUS - hotfill can, monster"
"Y054 Thunder Bay, ON DC",Y054," 3,029 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,500ml PET small runners
"Y054 Thunder Bay, ON DC",Y054," 52,206 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,"Juice, PA, Glass"
"Y054 Thunder Bay, ON DC",Y054," 28,730 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,VW
"Y054 Thunder Bay, ON DC",Y054," 10,922 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,VP skus
"Y054 Thunder Bay, ON DC",Y054," 4,735 ",External Purchases,Exte,"Y001 Brampton, ON DC",Y001,,,,,1 smart water sku & anc
"Y054 Thunder Bay, ON DC",Y054," 20,426 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,"Y001 Brampton, ON DC",Y001,,,"Smartwater, monster import, Core Power"
"Y055 St. Johns, NL DC",Y055," 211,914 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"32 pack can, some other can, PET"
"Y055 St. Johns, NL DC",Y055," 4,206 ","Y001 Brampton, ON DC",Y001,"Y027 Fairway, QC AUX WH",Y027,"Y029 L'Assomption, QC DC",Y029,,,some BIB
"Y055 St. Johns, NL DC",Y055," 11,715 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,"Y027 Fairway, QC AUX WH",Y027,,,some 500ml PET skus
"Y055 St. Johns, NL DC",Y055," 1,386 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y055 St. Johns, NL DC",Y055," 552,424 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Unique Weston can SKUS - hotfill can, monster, 222ml"
"Y055 St. Johns, NL DC",Y055," 6,284 ","Y028 Lachine, QC PC",Y028,,,,,,,"1 sku, CD cran"
"Y055 St. Johns, NL DC",Y055," 2,030,748 ","Y028 Lachine, QC PC",Y028,"Y027 Fairway, QC AUX WH",Y027,,,,,Core can & PET
"Y055 St. Johns, NL DC",Y055," 14,462 ","Y028 Lachine, QC PC",Y028,"Y027 Fairway, QC AUX WH",Y027,"Y029 L'Assomption, QC DC",Y029,,,BIB
"Y055 St. Johns, NL DC",Y055," 144,119 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"HF Juice, PA"
"Y055 St. Johns, NL DC",Y055," 36,479 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y055 St. Johns, NL DC",Y055," 52,554 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y055 St. Johns, NL DC",Y055, 943 ,External Purchases,Exte,"Y029 L'Assomption, QC DC",Y029,"Y027 Fairway, QC AUX WH",Y027,"Y001 Brampton, ON DC",Y001,Anc
"Y055 St. Johns, NL DC",Y055," 46,841 ",External Purchases,Exte,Y057 Delta Beverages,Y057,,,,,"Smartwater, Monster Imports, CorePower"
"Y071 TCS Calgary, AB DC",Y071," 27,225 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml PET"
"Y071 TCS Calgary, AB DC",Y071," 2,900,455 ","Y002 Calgary, AB DC",Y002,,,,,,,"Core can, PET"
"Y071 TCS Calgary, AB DC",Y071," 383,792 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Unique Weston can SKUS - hotfill can, monster,"
"Y071 TCS Calgary, AB DC",Y071, 584 ,"Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,small 500ml PET
"Y071 TCS Calgary, AB DC",Y071," 467,067 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,,,,,"monster, 222ml, some other can"
"Y071 TCS Calgary, AB DC",Y071," 240,731 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"HF Juice, PA"
"Y071 TCS Calgary, AB DC",Y071," 94,873 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y071 TCS Calgary, AB DC",Y071," 67,040 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y071 TCS Calgary, AB DC",Y071," 2,137 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,CorePower
"Y071 TCS Calgary, AB DC",Y071," 180,206 ",External Purchases,Exte,,,,,,,"Smartwater, Monster Imports, Anc."
