,1,2,3,4,5,6,7,8,9,10,11,12
A,1151923.024,1151923.024,1439903.78,1106135.825,1106135.825,1382669.781,1166451.219,1166451.219,1458064.024,1034861.038,1034861.038,1293576.298
B,499634.2441,499634.2441,624542.8052,666965.8088,666965.8088,833707.261,583784.2996,583784.2996,729730.3745,561091.4491,561091.4491,701364.3114
C,367437.798,367437.798,459297.2475,390727.9134,390727.9134,488409.8917,404929.509,404929.509,506161.8863,382589.9384,382589.9384,478237.423
D,262455.4782,262455.4782,328069.3477,401777.6349,401777.6349,502222.0437,260154.819,260154.819,325193.5238,281712.2876,281712.2876,352140.3596
