SiteID,DC Number,Site_Type,Region,Name,Address,City,State,Country,Postal_Code,Latitude,Longitude
23400,Y042,W_DC,West_BC,Nanaimo,4148 Mostar Road,Nanaimo,BC,Canada,V9T 5V9,49.2104,-124.0344
23401,Y043,W_DC,West_BC,Prince George,405 - 2nd Ave,Prince George,BC,Canada,V2L 2Z6,53.9142,-122.7326
23402,Y046,W_DC,West_BC,Terrace,5120 Keith Avenue,Terrace,BC,Canada,V8G 1K9,54.5152,-128.6152
23403,Y035,W_DC,West_BC,Castlegar,1370 Forest Foad,Castlegar,BC,Canada,V1N 3Y5,49.29315,-117.6642
23404,Y044,W_DC,West_BC,Nelson,7200 Nelson Road,Richmond,BC,Canada,V6W 1G4,49.158,-123.005
23405,Y049,W_DC,West_MB,Winnipeg,1331 Inkster Blvd,Winnipeg,MB,Canada,R2X 1P6,49.9434,-97.1717
23406,Y048,W_DC,West_MB,Brandon,1228 Victoria Ave E,Brandon,MB,Canada,R7A 2A8,49.8414,-99.9214
23407,Y054,W_DC,West_ON,Thunder Bay,615 Beaverhall Place,Thunder Bay,ON,Canada,P7E 3N1,48.3774,-89.2997
23408,Y052,W_DC,West_SK,Saskatoon,315 Circle Drive East,Saskatoon,SK,Canada,S7K 0T7,52.1577,-106.6664
23409,Y051,W_DC,West_SK,Regina,355 Henderson Drive,Regina,SK,Canada,S4N 6B9,50.4715,-104.5608
23410,Y055,W_DC,East_NL,St John's,51 Sagona Avenue,0,NL,Canada,0,47.5734,-52.7185
23411,Y053,W_OS,Cent_ON,Toronto,225 Carrier  Drive,Etobicoke,ON,Canada,M9W 5Y8,43.7481,-79.6204
23412,Y027,W_OS,East_QC,Lachine,4875 Fairway,Lachine,QC,Canada,H8T 1B7,45.4526,-73.712
23413,Y071,W_OS,West_AB,Calgary, 6810 40th Street SE,Calgary,AB,Canada,T2C 2A5,50.9945,-113.9756
23414,Y062,W_OS,West_BC,BC-Stryder,13240 Worster Court,Richmond,BC,Canada,V6V 2B8,49.17925,-123.0772
23415,Y034,W_XD,West_AB,Lethbridge,2920 9th Ave N,Lethbridge,AB,Canada,T1H 5E4,49.7123,-112.7993
23416,Y041,W_XD,West_BC,KelownaXD,100 - 2255 Norris Rd S,Kelowna,BC,Canada,V1X 8G7,49.9183,-119.3797
23417,Y040,W_XD,West_BC,Kamloops,1484 Iron Mask Rd,Kamloops,BC,Canada,V1S 1C7,50.6589,-120.403
23418,Y038,W_XD,West_BC,Cranbrook,#3 1139 Industrial Road ,Cranbrook,BC,Canada,V1C 5E3,49.5261,-115.7679
23419,Y034,W_DB,West_AB,LethbridgeDB,2920 9th Ave N,Lethbridge,AB,Canada,T1H 5E4,49.7123,-112.7993
23420,Y041,W_DB,West_BC,KelownaDB,100 - 2255 Norris Rd S,Kelowna,BC,Canada,V1X 8G7,49.9183,-119.3797
23421,Y040,W_DB,West_BC,KamloopsDB,1484 Iron Mask Rd,Kamloops,BC,Canada,V1S 1C7,50.6589,-120.403
23422,Y038,W_DB,West_BC,CranbrookDB,#3 1139 Industrial Road ,Cranbrook,BC,Canada,V1C 5E3,49.5261,-115.7679
23423,Y008,W_DC,Cent_ON,Owen SoundDC,1795 23rd Street East,Owen Sound,ON,Canada,N4K 5P5,44.58608,-80.91494
23424,Y009,W_DC,Cent_ON,Sault Ste Marie,987 Great Northern Rd.,Sault Ste Marie,ON,Canada,P6B 0B9,46.5476,-84.327
23425,Y012,W_DC,Cent_ON,WindsorDC,3215 Electricity Dr,Windsor,ON,Canada,N8W 5J1,42.2845,-82.9656
23426,Y025,W_DC,East_PE,CharlottetownDC,2 Aviation Ave,Winsloe,PE,Canada,C1E 1Z2,46.3139,-63.1676
23427,Y032,W_DC,East_QC,Trois-RivieresD,8500 boul. Indstriel,Trois-Rivières,QC,Canada,G9A 5E1,46.3552,-72.5381
23428,Y036,W_DC,West_BC,ChilliwackDC,44520 Yale Road,Sardis,BC,Canada,V2R 1A9,49.1447,-121.991
23429,Y039,W_DC,West_BC,Dawson CreekDC,2140 Alaska Hwy,Dawson Creek,BC,Canada,V1G 1Y2,55.7597,-120.2236
23430,Y050,W_DC,West_SK,LloydminsterDC,4502-35 Avenue,Lloydminster,SK,Canada,S9V 0Y4,53.2803,-110.0043
23431,Y004,W_XD,Cent_ON,BarrieXD,401 Bayview Drive,Barrie ,ON,Canada,L4N 8Y2,44.3404,-79.6776
23432,Y013,W_XD,East_NB,BathurstXD,2200 Vanier Blvd,Bathurst  ,NB,Canada,E2A 1H2,47.6394,-65.7129
23433,Y021,W_XD,East_NS,SydneyXD,418 Portsway Ave,Edwardsville,NS,Canada,B2A 4T8,46.1523,-60.2269
23434,Y043,W_XD,West_BC,Prince GeorgeXD,405 - 2nd Ave,Prince George,BC,Canada,V2L 2Z6,53.9142,-122.7326
23435,Y046,W_XD,West_BC,TerraceXD,5120 Keith Avenue,Terrace,BC,Canada,V8G 1K9,54.5152,-128.6152
23436,Y035,W_XD,West_BC,CastlegarXD,1370 Forest Foad,Castlegar,BC,Canada,V1N 3Y5,49.29315,-117.6642
23437,Y048,W_XD,West_MB,BrandonXD,1228 Victoria Ave E,Brandon,MB,Canada,R7A 2A8,49.8414,-99.9214
23438,Y054,W_XD,West_ON,Thunder BayXD,615 Beaverhall Place,Thunder Bay,ON,Canada,P7E 3N1,48.3774,-89.2997
23439,Y034,W_DC,West_AB,LethbridgeDC,2920 9th Ave N,Lethbridge,AB,Canada,T1H 5E4,49.7123,-112.7993
23440,Y041,W_DC,West_BC,Kelowna,100 - 2255 Norris Rd S,Kelowna,BC,Canada,V1X 8G7,49.9183,-119.3797
23441,Y040,W_DC,West_BC,KamloopsDC,1484 Iron Mask Rd,Kamloops,BC,Canada,V1S 1C7,50.6589,-120.403
23442,Y038,W_DC,West_BC,CranbrookDC,#3 1139 Industrial Road ,Cranbrook,BC,Canada,V1C 5E3,49.5261,-115.7679
23443,Y008,W_XD,Cent_ON,Owen SoundXD,1795 23rd Street East,Owen Sound,ON,Canada,N4K 5P5,44.58608,-80.91494
23444,Y009,W_XD,Cent_ON,Sault Ste Marie,987 Great Northern Rd.,Sault Ste Marie,ON,Canada,P6B 0B9,46.5476,-84.327
23445,Y012,W_DB,Cent_ON,WindsorDB,3215 Electricity Dr,Windsor,ON,Canada,N8W 5J1,42.2845,-82.9656
23446,Y014,W_DB,East_NB,EdmundstonDB,500 Blvd de L'Acadie,Edmundston  ,NB,Canada,E3V 3L1,47.3643,-68.3259
