Key 2,Key 1,Facility,Line,Pack,Pack supply,Pack II,Type,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,TOTAL,Pre Peak,Peak,Post Peak
PurchasePurchase1 L PET 12,PurchasePurchase1 L PET 12,Purchase,Purchase,1 L PET 12,1 L PET 12,SMARTWATER,PET," 52,320 "," 97,076 "," 95,342 "," 76,038 "," 72,609 "," 121,498 "," 83,148 "," 72,523 "," 81,237 "," 55,181 "," 50,034 "," 75,988 "," 932,994 "," 320,776 "," 349,778 "," 262,440 "
PurchasePurchase1.5 L PET 12,PurchasePurchase1.5 L PET 12,Purchase,Purchase,1.5 L PET 12,1.5 L PET 12,SMARTWATER,PET," 7,197 "," 10,362 "," 14,138 "," 13,505 "," 16,438 "," 41,874 "," 16,935 "," 17,755 "," 17,253 "," 11,867 "," 9,622 "," 14,987 "," 191,933 "," 45,202 "," 93,002 "," 53,729 "
PurchasePurchase414 ML PET 12 - COR,PurchasePurchase414 ML PET 12 - COR,Purchase,Purchase,414 ML PET 12 - COR,414 ML PET 12 - COR,PET,PET," 62,509 "," 28,890 "," 68,628 "," 48,731 "," 43,069 "," 86,005 "," 36,643 "," 100,396 "," 73,383 "," 60,998 "," 37,952 "," 84,071 "," 731,275 "," 208,758 "," 266,113 "," 256,404 "
PurchasePurchase591 ML PET 24,PurchasePurchase591 ML PET 24,Purchase,Purchase,591 ML PET 24,591 ML PET 24,SMARTWATER,PET," 13,660 "," 56,286 "," 61,826 "," 57,722 "," 61,323 "," 100,139 "," 67,243 "," 65,154 "," 64,000 "," 46,192 "," 36,996 "," 57,647 "," 688,188 "," 189,494 "," 293,859 "," 204,835 "
PurchasePurchase700 ML PET 24,PurchasePurchase700 ML PET 24,Purchase,Purchase,700 ML PET 24,700 ML PET 24,SMARTWATER,PET," 2,987 "," 8,288 "," 12,009 "," 11,946 "," 13,153 "," 22,052 "," 13,235 "," 11,052 "," 11,488 "," 7,398 "," 4,932 "," 8,119 "," 126,659 "," 35,230 "," 59,492 "," 31,937 "
PurchasePurchase444 ML CAN 12,PurchasePurchase444 ML CAN 12,Purchase,Purchase,444 ML CAN 12,444 ML CAN 12,CANS,CANS," 26,219 "," 138,227 "," 93,438 "," 82,923 "," 92,282 "," 92,362 "," 124,921 "," 101,657 "," 112,044 "," 74,355 "," 75,359 "," 105,698 "," 1,119,485 "," 340,807 "," 411,222 "," 367,456 "
PurchasePurchase458 ML CAN 12,PurchasePurchase458 ML CAN 12,Purchase,Purchase,458 ML CAN 12,458 ML CAN 12,CANS,CANS," 48,981 "," 45,976 "," 57,706 "," 64,076 "," 49,988 "," 63,254 "," 31,005 "," 30,108 "," 52,683 "," 45,184 "," 30,544 "," 46,520 "," 566,025 "," 216,739 "," 174,355 "," 174,931 "
PurchasePurchase710 ML CANS 12-MONSTER,PurchasePurchase710 ML CANS 12-MONSTER,Purchase,Purchase,710 ML CANS 12-MONSTER,710 ML CANS 12-MONSTER,CANS,CANS," 32,058 "," 36,905 "," 52,746 "," 41,117 "," 39,988 "," 49,720 "," 42,217 "," 46,704 "," 51,000 "," 36,686 "," 29,215 "," 43,067 "," 501,423 "," 162,826 "," 178,629 "," 159,968 "
PurchasePurchase710 ML CANS 12-NOS,PurchasePurchase710 ML CANS 12-NOS,Purchase,Purchase,710 ML CANS 12-NOS,710 ML CANS 12-NOS,CANS,CANS," 5,067 "," 8,699 "," 8,493 "," 9,067 "," 7,858 "," 9,628 "," 6,995 "," 8,110 "," 11,228 "," 8,092 "," 4,724 "," 7,578 "," 95,539 "," 31,326 "," 32,591 "," 31,622 "
PurchasePurchase10 L BIB,PurchasePurchase10 L BIB,Purchase,Purchase,10 L BIB,10 L BIB,BIB,BIB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PurchasePurchase12 L BIB,PurchasePurchase12 L BIB,Purchase,Purchase,12 L BIB,12 L BIB,BIB,BIB, 800 ," 2,040 "," 4,219 "," 3,573 "," 4,018 "," 4,495 "," 3,754 "," 3,509 "," 4,266 "," 3,072 "," 2,914 "," 2,943 "," 39,603 "," 10,632 "," 15,776 "," 13,195 "
PurchasePurchase9.5 L BIB,PurchasePurchase9.5 L BIB,Purchase,Purchase,9.5 L BIB,9.5 L BIB,BIB,BIB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
PurchasePurchase355 ML NRG 24,PurchasePurchase355 ML NRG 24,Purchase,Purchase,355 ML NRG 24,355 ML NRG 24,GLASS,GLASS," 3,908 "," 4,213 "," 6,001 "," 9,672 "," 10,973 "," 6,185 "," 11,608 "," 9,780 "," 11,876 "," 8,736 "," 8,647 "," 8,753 "," 100,352 "," 23,794 "," 38,546 "," 38,012 "
ALLIANCECoPacked 591 ML PET 15,ALLIANCE591 ML PET 15,ALLIANCE,CoPacked ,591 ML PET 15,591 ML PET 15,PET,PET," 19,656 "," 26,031 "," 35,021 "," 38,195 "," 26,034 "," 59,146 "," 30,297 "," 18,668 "," 21,944 "," 13,569 "," 27,876 "," 33,259 "," 349,696 "," 118,903 "," 134,145 "," 96,648 "
ALLIANCECoPacked 591 ML PET 24,ALLIANCE591 ML PET 24,ALLIANCE,CoPacked ,591 ML PET 24,591 ML PET 24,PET,PET," 13,473 "," 12,027 "," 20,098 "," 20,889 "," 23,556 "," 29,338 "," 10,358 "," 19,160 "," 17,460 "," 18,736 "," 16,941 "," 21,823 "," 223,859 "," 66,487 "," 82,412 "," 74,960 "
