Key 2,Key 1,Facility,Line,Pack,Pack supply,Pack II,Type,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,TOTAL,Pre Peak,Peak,Post Peak
ALLIANCECoPacked 591 ML PET 24,ALLIANCE591 ML PET RP,ALLIANCE,CoPacked ,591 ML PET RP,591 ML PET 24,PET,PET," 88,988 "," 26,033 "," 88,450 "," 117,548 "," 63,388 "," 129,111 "," 100,020 "," 60,735 "," 24,071 "," 52,276 "," 29,694 "," 57,669 "," 837,983 "," 321,019 "," 353,254 "," 163,710 "
DELTACoPacked 237 ML NRG 24,DELTA237ML GLASS,DELTA,CoPacked ,237ML GLASS,237 ML NRG 24,GLASS,GLASS," 18,002 "," 33,312 "," 34,109 "," 33,487 "," 34,791 "," 45,592 "," 3,600 "," 27,870 "," 30,367 "," 30,174 "," 30,660 "," 41,604 "," 363,568 "," 118,910 "," 111,853 "," 132,805 "
DELTACoPacked 341 ML NRG 24,DELTA341ML Glass 24,DELTA,CoPacked ,341ML Glass 24,341 ML NRG 24,GLASS,GLASS, (0), -   ," 43,188 "," 31,320 "," 14,063 "," 51,798 ", -   , -   ," 6,274 ", -   , -   , -   ," 146,643 "," 74,508 "," 65,861 "," 6,274 "
DELTACoPacked 341 ML NRG 12,DELTA341ML Glass 12,DELTA,CoPacked ,341ML Glass 12,341 ML NRG 12,GLASS,GLASS, -   ," 24,332 ", 0 ," 12,798 "," 10,693 "," 11,778 "," 15,842 "," 5,779 "," 8,620 "," 5,398 "," 8,606 "," 10,831 "," 114,677 "," 37,130 "," 44,092 "," 33,455 "
DELTACoPacked 355 ML NRG 24,DELTA355ML GLASS 24,DELTA,CoPacked ,355ML GLASS 24,355 ML NRG 24,GLASS,GLASS, -   , -   , -   , -   , -   ," 29,269 "," 3,566 ", 1 ," 19,674 "," 15,828 "," 13,897 "," 8,455 "," 90,690 ", -   ," 32,836 "," 57,854 "
DELTACoPacked 355 ML NRG 12,DELTA355ML GLASS 12,DELTA,CoPacked ,355ML GLASS 12,355 ML NRG 12,GLASS,GLASS," 5,254 "," 8,412 "," 6,073 "," 4,410 "," 6,823 "," 10,644 "," 4,326 "," 11,523 "," 1,892 "," 10,397 "," 10,327 "," 12,373 "," 92,454 "," 24,149 "," 33,316 "," 34,989 "
DELTACoPacked 355 ML PET 12,DELTA355Ml HOTFILL,DELTA,CoPacked ,355Ml HOTFILL,355 ML PET 12,PET,PET," 116,101 "," 112,624 "," 142,333 "," 122,433 "," 117,494 "," 162,786 "," 111,682 "," 110,142 "," 121,963 "," 93,930 "," 87,012 "," 123,861 "," 1,422,361 "," 493,491 "," 502,104 "," 426,766 "
DELTACoPacked 500 ML PET 12,DELTA500 ML HOT FILL,DELTA,CoPacked ,500 ML HOT FILL,500 ML PET 12,PET,PET," 157,412 "," 112,056 "," 136,740 "," 134,072 "," 137,274 "," 114,058 "," 158,828 "," 150,045 "," 156,036 "," 123,052 "," 113,581 "," 159,303 "," 1,652,457 "," 540,280 "," 560,205 "," 551,972 "
DELTACoPacked 547 ML PET 12,DELTA547ML Gold Peak,DELTA,CoPacked ,547ML Gold Peak,547 ML PET 12,PET,PET," 50,880 ", (0)," 50,880 "," 45,022 "," 43,912 "," 55,233 "," 42,413 "," 29,836 "," 48,976 "," 52,536 ", (0)," 30,692 "," 450,380 "," 146,782 "," 171,394 "," 132,204 "
DELTACoPacked 591 ML PET 24,DELTA591 ML PET 24,DELTA,CoPacked ,591 ML PET 24,591 ML PET 24,PET,PET," 43,005 "," 151,890 "," 165,000 "," 135,446 "," 143,473 "," 131,796 "," 132,297 "," 83,391 "," 43,202 "," 86,041 "," 42,163 "," 73,678 "," 1,231,382 "," 495,341 "," 490,957 "," 245,084 "
DELTACoPacked 710 ML PET 12,DELTA710 ML PET 12,DELTA,CoPacked ,710 ML PET 12,710 ML PET 12,PET,PET," 299,330 "," 211,975 "," 256,275 "," 282,605 "," 345,081 "," 491,701 "," 353,218 "," 300,760 "," 282,684 "," 221,483 "," 170,896 "," 253,488 "," 3,469,496 "," 1,050,185 "," 1,490,760 "," 928,551 "
DELTACoPacked 946 ML PET 12,DELTA946 ML PET 12,DELTA,CoPacked ,946 ML PET 12,946 ML PET 12,PET,PET, -   ," 37,752 ", (0)," 32,032 ", -   ," 30,888 "," 27,151 "," 37,479 "," 3,303 "," 8,928 "," 8,940 "," 14,081 "," 200,554 "," 69,784 "," 95,518 "," 35,252 "
DELTACoPacked 591 ML PET 12,DELTA591 ML PET 12,DELTA,CoPacked ,591 ML PET 12,591 ML PET 12,PET,PET, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
DELTACoPacked 591 ML PET 12,DELTA591 ML Glaceau,DELTA,CoPacked ,591 ML Glaceau,591 ML PET 12,PET,PET, -   ," 50,000 ", -   , -   , -   ," 99,020 "," 49,634 ", -   , -   , -   , -   , -   ," 198,654 "," 50,000 "," 148,654 ", -   
JORIKICoPacked 591 ML PET 12,JORIKI591 ML Glaceau,JORIKI,CoPacked ,591 ML Glaceau,591 ML PET 12,PET,PET," 345,000 "," 330,000 "," 440,000 "," 330,000 "," 330,000 "," 440,000 "," 330,000 "," 330,000 "," 420,366 "," 300,000 "," 300,237 "," 330,000 "," 4,225,603 "," 1,445,000 "," 1,430,000 "," 1,350,603 "
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
